customer_id,age,gender,region,tenure_months,last_purchase_date,total_spent,num_purchases,churn,avg_purchase_value,recency_days
CUST00001,43,Female,South,50,2023-07-18,249000,2,0,124500.0,166
CUST00002,22,Male,East,37,2023-06-27,84300,4,1,21075.0,187
CUST00003,59,Female,North,18,2023-02-06,130150,4,0,32537.5,328
CUST00004,29,Male,East,3,2023-11-28,349000,5,0,69800.0,33
CUST00005,53,Female,West,45,2023-04-05,8000,1,0,8000.0,270
CUST00006,45,Female,North,23,2023-06-21,176500,5,0,35300.0,193
CUST00007,44,Male,East,28,2023-01-06,450,3,0,150.0,359
CUST00008,28,Female,East,22,2023-11-16,410200,4,1,102550.0,45
CUST00009,61,Female,South,52,2023-08-10,234000,4,0,58500.0,143
CUST00010,36,Female,West,15,2023-04-17,205500,4,1,51375.0,258
CUST00011,46,Male,South,1,2023-06-10,136550,6,1,22758.333333333332,204
CUST00012,34,Male,North,51,2023-04-25,219400,4,0,54850.0,250
CUST00013,39,Male,South,35,2023-01-21,50,1,0,50.0,344
CUST00014,55,Male,East,38,2023-03-16,766000,6,1,127666.66666666667,290
CUST00015,46,Female,West,40,2023-03-09,490000,2,0,245000.0,297
CUST00016,29,Female,East,9,2023-10-28,45100,2,0,22550.0,64
CUST00017,63,Male,West,51,2023-06-12,150400,5,1,30080.0,202
CUST00018,57,Female,North,7,2023-10-24,441150,7,0,63021.42857142857,68
CUST00019,37,Male,South,7,2023-02-23,647300,5,0,129460.0,311
CUST00020,36,Female,West,55,2023-08-07,99500,5,0,19900.0,146
CUST00021,56,Female,West,37,2023-04-18,255700,6,0,42616.666666666664,257
CUST00022,25,Female,South,41,2023-07-28,301850,8,1,37731.25,156
CUST00023,61,Female,East,6,2023-09-24,605300,7,0,86471.42857142857,98
CUST00025,23,Male,West,24,2023-03-22,550000,3,1,183333.33333333334,284
CUST00026,51,Female,East,5,2023-02-24,523700,5,0,104740.0,310
CUST00027,64,Female,South,25,2023-01-19,236200,5,0,47240.0,346
CUST00028,63,Male,South,50,2023-09-03,468000,5,0,93600.0,119
CUST00029,42,Female,North,38,2023-02-21,499300,5,1,99860.0,313
CUST00030,62,Male,West,20,2023-11-20,357000,5,1,71400.0,41
CUST00031,41,Male,South,25,2023-11-11,139150,4,1,34787.5,50
CUST00032,31,Female,East,10,2023-08-23,400,1,0,400.0,130
CUST00033,59,Female,South,47,2023-11-18,60500,2,0,30250.0,43
CUST00034,51,Male,South,42,2023-05-22,412000,6,0,68666.66666666667,223
CUST00035,57,Male,North,9,2023-03-14,614300,6,0,102383.33333333333,292
CUST00036,43,Male,West,46,2023-06-07,100000,2,1,50000.0,207
CUST00037,54,Female,North,25,2023-12-12,655050,5,0,131010.0,19
CUST00038,23,Male,West,30,2023-02-08,278000,5,0,55600.0,326
CUST00040,54,Female,East,33,2023-11-27,151400,5,0,30280.0,34
CUST00041,44,Male,East,29,2023-09-21,32000,2,1,16000.0,101
CUST00042,35,Female,East,11,2023-11-18,316100,4,0,79025.0,43
CUST00043,38,Male,South,45,2023-02-08,336000,5,0,67200.0,326
CUST00044,53,Male,North,49,2023-02-06,99000,2,0,49500.0,328
