customer_id,age,tenure_months,last_purchase_date,total_spent,num_purchases,churn,recency_days,cluster,segment_label
CUST00001,43,50,2023-07-18,249000,2,0,166,2,Emerging / Mid-Value
CUST00002,22,37,2023-06-27,84300,4,1,187,1,Dormant / At-Risk
CUST00003,59,18,2023-02-06,130150,4,0,328,1,Dormant / At-Risk
CUST00004,29,3,2023-11-28,349000,5,0,33,0,High-Value Loyal
CUST00005,53,45,2023-04-05,8000,1,0,270,1,Dormant / At-Risk
CUST00006,45,23,2023-06-21,176500,5,0,193,1,Dormant / At-Risk
CUST00007,44,28,2023-01-06,450,3,0,359,1,Dormant / At-Risk
CUST00008,28,22,2023-11-16,410200,4,1,45,0,High-Value Loyal
CUST00009,61,52,2023-08-10,234000,4,0,143,2,Emerging / Mid-Value
CUST00010,36,15,2023-04-17,205500,4,1,258,1,Dormant / At-Risk
CUST00011,46,1,2023-06-10,136550,6,1,204,0,High-Value Loyal
CUST00012,34,51,2023-04-25,219400,4,0,250,1,Dormant / At-Risk
CUST00013,39,35,2023-01-21,50,1,0,344,1,Dormant / At-Risk
CUST00015,46,40,2023-03-09,490000,2,0,297,1,Dormant / At-Risk
CUST00016,29,9,2023-10-28,45100,2,0,64,2,Emerging / Mid-Value
CUST00017,63,51,2023-06-12,150400,5,1,202,1,Dormant / At-Risk
CUST00018,57,7,2023-10-24,441150,7,0,68,0,High-Value Loyal
CUST00019,37,7,2023-02-23,647300,5,0,311,0,High-Value Loyal
CUST00020,36,55,2023-08-07,99500,5,0,146,2,Emerging / Mid-Value
CUST00021,56,37,2023-04-18,255700,6,0,257,0,High-Value Loyal
CUST00022,25,41,2023-07-28,301850,8,1,156,0,High-Value Loyal
CUST00023,61,6,2023-09-24,605300,7,0,98,0,High-Value Loyal
CUST00025,23,24,2023-03-22,550000,3,1,284,0,High-Value Loyal
CUST00026,51,5,2023-02-24,523700,5,0,310,0,High-Value Loyal
CUST00027,64,25,2023-01-19,236200,5,0,346,1,Dormant / At-Risk
CUST00028,63,50,2023-09-03,468000,5,0,119,0,High-Value Loyal
CUST00029,42,38,2023-02-21,499300,5,1,313,0,High-Value Loyal
CUST00030,62,20,2023-11-20,357000,5,1,41,0,High-Value Loyal
CUST00031,41,25,2023-11-11,139150,4,1,50,2,Emerging / Mid-Value
CUST00032,31,10,2023-08-23,400,1,0,130,2,Emerging / Mid-Value
CUST00033,59,47,2023-11-18,60500,2,0,43,2,Emerging / Mid-Value
CUST00034,51,42,2023-05-22,412000,6,0,223,0,High-Value Loyal
CUST00035,57,9,2023-03-14,614300,6,0,292,0,High-Value Loyal
CUST00036,43,46,2023-06-07,100000,2,1,207,1,Dormant / At-Risk
CUST00037,54,25,2023-12-12,655050,5,0,19,0,High-Value Loyal
CUST00038,23,30,2023-02-08,278000,5,0,326,1,Dormant / At-Risk
CUST00040,54,33,2023-11-27,151400,5,0,34,2,Emerging / Mid-Value
CUST00041,44,29,2023-09-21,32000,2,1,101,2,Emerging / Mid-Value
CUST00042,35,11,2023-11-18,316100,4,0,43,2,Emerging / Mid-Value
CUST00043,38,45,2023-02-08,336000,5,0,326,0,High-Value Loyal
CUST00044,53,49,2023-02-06,99000,2,0,328,1,Dormant / At-Risk
CUST00046,34,8,2023-04-08,350000,1,0,267,1,Dormant / At-Risk
CUST00049,47,47,2023-12-23,362250,5,0,8,0,High-Value Loyal
CUST00050,23,57,2023-02-20,173000,3,0,314,1,Dormant / At-Risk
CUST00051,64,34,2023-12-01,159400,5,0,30,2,Emerging / Mid-Value
CUST00052,54,53,2023-03-22,254000,3,0,284,1,Dormant / At-Risk
CUST00053,52,16,2023-06-05,255400,5,0,209,0,High-Value Loyal
CUST00054,45,6,2023-10-16,404300,5,0,76,0,High-Value Loyal
CUST00055,32,14,2023-10-01,136000,3,0,91,2,Emerging / Mid-Value
CUST00056,32,32,2023-02-26,60000,2,1,308,1,Dormant / At-Risk
CUST00057,41,4,2023-07-07,321000,4,0,177,0,High-Value Loyal
CUST00058,61,15,2023-02-27,18200,4,0,307,1,Dormant / At-Risk
CUST00059,40,36,2023-04-18,211400,6,0,257,0,High-Value Loyal
CUST00060,61,52,2023-03-11,149250,4,0,295,1,Dormant / At-Risk
CUST00061,32,42,2023-07-12,160000,2,0,172,2,Emerging / Mid-Value
CUST00062,25,29,2023-03-08,215250,3,0,298,1,Dormant / At-Risk
CUST00063,25,26,2023-01-09,117000,3,0,356,1,Dormant / At-Risk
CUST00064,42,9,2023-05-25,422300,7,0,220,0,High-Value Loyal
CUST00065,54,23,2023-01-29,577000,4,0,336,0,High-Value Loyal
CUST00066,44,48,2023-08-12,74150,3,0,141,2,Emerging / Mid-Value
CUST00067,44,2,2023-01-02,281000,5,0,363,1,Dormant / At-Risk
